,User-ID,ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Publisher,Location,Age
0,2,0195153448,0.0,Classical Mythology,Mark P. O. Morford,2002,Oxford University Press,"stockton, california, usa",18.0
1,8,0002005018,5.0,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada,"timmins, ontario, canada",
2,8,0060973129,0.0,Decision in Normandy,Carlo D'Este,1991,HarperPerennial,"timmins, ontario, canada",
3,8,0374157065,0.0,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,Farrar Straus Giroux,"timmins, ontario, canada",
4,8,0393045218,0.0,The Mummies of Urumchi,E. J. W. Barber,1999,W. W. Norton &amp; Company,"timmins, ontario, canada",
5,8,0399135782,0.0,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group,"timmins, ontario, canada",
6,8,0425176428,0.0,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000,Berkley Publishing Group,"timmins, ontario, canada",
7,8,0671870432,0.0,PLEADING GUILTY,Scott Turow,1993,Audioworks,"timmins, ontario, canada",
8,8,0679425608,0.0,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,1996,Random House,"timmins, ontario, canada",
9,8,074322678X,5.0,Where You'll Find Me: And Other Stories,Ann Beattie,2002,Scribner,"timmins, ontario, canada",
10,8,0771074670,0.0,Nights Below Station Street,David Adams Richards,1988,Emblem Editions,"timmins, ontario, canada",
11,8,080652121X,0.0,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor,2000,Citadel Press,"timmins, ontario, canada",
12,8,0887841740,5.0,The Middle Stories,Sheila Heti,2004,House of Anansi Press,"timmins, ontario, canada",
13,8,1552041778,5.0,Jane Doe,R. J. Kaiser,1999,Mira Books,"timmins, ontario, canada",
14,8,1558746218,0.0,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998,Health Communications,"timmins, ontario, canada",
15,8,1567407781,6.0,The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman,1998,Brilliance Audio - Trade,"timmins, ontario, canada",
16,8,1575663937,6.0,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,1999,Kensington Publishing Corp.,"timmins, ontario, canada",
17,8,1881320189,7.0,Goodbye to the Buttermilk Sky,Julia Oliver,1994,River City Pub,"timmins, ontario, canada",
18,9,0440234743,0.0,The Testament,John Grisham,1999,Dell,"germantown, tennessee, usa",
19,9,0452264464,6.0,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume,"germantown, tennessee, usa",
20,9,0609804618,0.0,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999,Three Rivers Press,"germantown, tennessee, usa",
21,10,1841721522,0.0,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,2001,Ryland Peters &amp; Small Ltd,"albacete, wisconsin, spain",26.0
22,12,1879384493,10.0,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,J. R. Parrish,2003,Cypress House,"fort bragg, california, usa",
23,14,0061076031,5.0,Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in),Mary-Kate &amp; Ashley Olsen,2000,HarperEntertainment,"mediapolis, iowa, usa",
24,14,0439095026,5.0,Tell Me This Isn't Happening,Robynn Clairday,1999,Scholastic,"mediapolis, iowa, usa",
25,14,0689821166,6.0,Flood : Mississippi 1927,Kathleen Duey,1998,Aladdin,"mediapolis, iowa, usa",
26,14,0971880107,0.0,Wild Animus,Rich Shapero,2004,Too Far,"mediapolis, iowa, usa",
27,16,0345402871,9.0,Airframe,Michael Crichton,1997,Ballantine Books,"albuquerque, new mexico, usa",
28,16,0345417623,0.0,Timeline,MICHAEL CRICHTON,2000,Ballantine Books,"albuquerque, new mexico, usa",
29,17,0684823802,0.0,OUT OF THE SILENT PLANET,C.S. Lewis,1996,Scribner,"chesapeake, virginia, usa",
30,19,0375759778,7.0,Prague : A Novel,ARTHUR PHILLIPS,2003,Random House Trade Paperbacks,"weston, ,",14.0
31,20,0425163091,0.0,Chocolate Jesus,Stephan Jaramillo,1998,Berkley Publishing Group,"langhorne, pennsylvania, usa",19.0
32,22,3404921038,7.0,Wie Barney es sieht.,Mordecai Richler,2002,LÃ?Â¼bbe,"erfurt, thueringen, germany",
33,22,3442353866,0.0,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,Eleanor Cooney,2001,Goldmann,"erfurt, thueringen, germany",
34,22,3442410665,0.0,Sturmzeit. Roman.,Charlotte Link,1991,Goldmann,"erfurt, thueringen, germany",
35,22,3442446937,0.0,Tage der Unschuld.,Richard North Patterson,2000,Goldmann,"erfurt, thueringen, germany",
36,23,0375406328,0.0,Lying Awake,Mark Salzman,2000,Alfred A. Knopf,"philadelphia, pennsylvania, usa",
37,26,0446310786,10.0,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company,"bellevue, washington, usa",
38,26,0449005615,9.0,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books,"bellevue, washington, usa",
39,32,0060168013,8.0,Pigs in Heaven,Barbara Kingsolver,1993,Harpercollins,"portland, oregon, usa",
40,32,038078243X,0.0,Miss Zukas and the Raven's Dance,Jo Dereske,1996,Avon,"portland, oregon, usa",
41,32,055321215X,0.0,Pride and Prejudice,Jane Austen,1983,Bantam,"portland, oregon, usa",
42,36,067176537X,0.0,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,Dolores Krieger,1979,Fireside,"montreal, quebec, canada",24.0
43,39,0061099686,0.0,Downtown,Anne Rivers Siddons,1995,HarperTorch,"cary, north carolina, usa",
44,39,0553582909,8.0,Icebound,Dean R. Koontz,2000,Bantam Books,"cary, north carolina, usa",
45,39,0671888587,7.0,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket,"cary, north carolina, usa",
